Order ID,Order Date,Ship Date,Ship Mode,Customer Segment,Region,State,Category,Sub-Category,Quantity,Discount,Sales,Profit
ORD-10001,2024-01-21,2024-01-28,Standard Class,Consumer,North,Rajasthan,Electronics,Tablets,10,0.1,85965.93,-3767.43
ORD-10002,2025-04-19,2025-04-22,Standard Class,Corporate,South,Telangana,Furniture,Chairs,10,0.1,175630.29,34595.93
ORD-10003,2024-12-11,2024-12-16,Standard Class,Corporate,South,Tamil Nadu,Clothing,Women's Wear,2,0.0,3769.13,482.18
ORD-10004,2024-07-20,2024-07-26,Standard Class,Consumer,South,Karnataka,Office Supplies,Paper,4,0.0,607.07,101.89
ORD-10005,2024-03-05,2024-03-06,Same Day,Corporate,North,Delhi,Electronics,Tablets,7,0.0,145480.04,23771.81
ORD-10006,2025-05-17,2025-05-24,Standard Class,Corporate,East,Jharkhand,Furniture,Storage,14,0.05,199469.6,29598.11
ORD-10007,2025-11-21,2025-11-28,First Class,Corporate,North,Punjab,Electronics,Tablets,7,0.1,144682.96,16197.59
ORD-10008,2024-01-28,2024-02-01,Standard Class,Consumer,North,Delhi,Electronics,Cameras,12,0.05,233624.96,51876.08
ORD-10009,2024-08-12,2024-08-15,Standard Class,Consumer,South,Kerala,Furniture,Chairs,10,0.1,170494.47,33232.91
ORD-10010,2025-10-03,2025-10-07,Standard Class,Consumer,South,Tamil Nadu,Electronics,Laptops,6,0.05,25012.35,2109.42
ORD-10011,2025-05-25,2025-05-26,Second Class,Consumer,West,Maharashtra,Office Supplies,Pens,9,0.1,784.82,122.92
ORD-10012,2025-04-17,2025-04-19,First Class,Corporate,North,Punjab,Office Supplies,Pens,7,0.3,1532.88,535.07
ORD-10013,2024-07-26,2024-07-29,Standard Class,Corporate,South,Tamil Nadu,Furniture,Storage,4,0.0,63710.79,8228.71
ORD-10014,2025-12-20,2025-12-25,Second Class,Corporate,South,Karnataka,Furniture,Bookcases,9,0.05,15684.07,2348.99
ORD-10015,2024-10-09,2024-10-12,Standard Class,Home Office,South,Telangana,Furniture,Storage,2,0.0,26868.82,3303.81
ORD-10016,2024-10-06,2024-10-11,First Class,Consumer,South,Kerala,Office Supplies,Envelopes,1,0.0,1177.38,260.58
ORD-10017,2025-09-30,2025-10-03,Standard Class,Home Office,East,Odisha,Electronics,Laptops,10,0.05,378571.86,14415.09
ORD-10018,2025-04-15,2025-04-22,Standard Class,Consumer,North,Rajasthan,Electronics,Cameras,12,0.0,327747.91,80151.49
ORD-10019,2025-07-25,2025-07-29,First Class,Consumer,North,Rajasthan,Office Supplies,Envelopes,12,0.05,1247.55,429.11
ORD-10020,2025-04-18,2025-04-23,Same Day,Consumer,South,Andhra Pradesh,Office Supplies,Paper,14,0.0,7284.14,2029.72
ORD-10021,2024-09-03,2024-09-06,First Class,Consumer,West,Goa,Furniture,Chairs,12,0.0,53219.51,4047.58
ORD-10022,2024-01-23,2024-01-25,Same Day,Home Office,West,Maharashtra,Furniture,Chairs,10,0.2,143228.7,16770.35
